number,colony.id,site,date,total.colony.size,disease.area,healthy.area,total.model.area,lesion count,rate,loss
1,MCAV51,BC1,8.24.18,0.186094331,0.003007701,0.18308663,3.83145233,6,,
2,MCAV55,BC1,8.24.18,0.068146739,0.00441668,0.063730059,4.02550973,5,,
3,MCAV56,BC1,8.24.18,0.097731589,0.000481945,0.097249644,4.05294418,2,,
4,MCAV58,BC1,8.24.18,0.235565745,0.009181875,0.22638387,6.18038626,5,,
5,MCAV63,BC1,8.24.18,0.064838369,0.006830846,0.058007523,3.14077185,13,,
6,MCAV64,BC1,8.24.18,0.200569356,0.013850632,0.186718724,4.97623422,9,,
7,MCAV67,BC1,8.24.18,0.268314213,0.039115971,0.229198242,3.46463207,5,,
8,MCAV70,BC1,8.24.18,0.03885529,0.026078657,0.012776633,3.46463207,5,,
9,MCAV161,T328,8.24.18,1.77980734,0.03801699,1.74179035,18.4809568,8,,
10,MCAV165,FTL4,8.24.18,0.221145937,0.000291297,0.22085464,5.00192112,1,,
11,MCAV166,T328,8.24.18,0.121964151,0.001228084,0.120736067,2.28562394,3,,
12,MCAV168,FTL4,8.24.18,0.105870496,0.018222621,0.087647875,5.17033947,2,,
13,MCAV170,FTL4,8.24.18,0.035458379,0.003714753,0.031743626,3.44676739,3,,
14,MCAV172,T328,8.24.18,0.339219974,0.01911477,0.320105204,9.22499807,10,,
15,MCAV173,T328,8.24.18,0.091598637,0.006427841,0.085170796,4.92091083,12,,
16,MCAV175,T328,8.24.18,0.62366166,0.000979893,0.622681767,7.38882649,2,,
17,MCAV181,FTL4,8.24.18,0.658896094,0.041718222,0.617177872,7.97742086,6,,
18,MCAV182,FTL4,8.24.18,0.634329479,0.001516222,0.632813257,5.04316007,1,,
19,MCAV183,FTL4,8.24.18,0.026800544,0.002262701,0.024537843,5.22036577,2,,
20,MCAV184,FTL4,8.24.18,0.101871974,0.020877744,0.08099423,4.784219,10,,
21,MCAV185,FTL4,8.24.18,0.319394209,0.001823015,0.317571194,4.87335411,4,,
22,MCAV186,FTL4,8.24.18,0.338541867,0.001084447,0.33745742,10.5470822,1,,
23,MCAV195,T328,8.24.18,0.081498984,0.002424398,0.079074586,5.91653617,11,,
24,MCAV199,T328,8.24.18,0.475530025,0.021362565,0.45416746,7.52694257,15,,
25,MCAV51,BC1,9.11.18,0.182774303,0.003458936,0.179315367,6.48270068,2,1.754801568,-12.91121283
26,MCAV55,BC1,9.11.18,0.062027333,0.005755337,0.056271996,9.85666997,2,5.205885708,-23.79767522
27,MCAV56,BC1,9.11.18,0.097359665,0.002690642,0.094669024,5.60851324,2,8.589371735,-1.446367585
