colony.id,site,t1,proportion of total
MCAV51,BC1,8.24.18,1
MCAV55,BC1,8.24.18,1
MCAV56,BC1,8.24.18,1
MCAV58,BC1,8.24.18,1
MCAV63,BC1,8.24.18,1
MCAV64,BC1,8.24.18,1
MCAV67,BC1,8.24.18,1
MCAV70,BC1,8.24.18,1
MCAV161,T328,8.24.18,1
MCAV165,FTL4,8.24.18,1
MCAV166,T328,8.24.18,1
MCAV168,FTL4,8.24.18,1
MCAV170,FTL4,8.24.18,1
MCAV172,T328,8.24.18,1
MCAV173,T328,8.24.18,1
MCAV175,T328,8.24.18,1
MCAV181,FTL4,8.24.18,1
MCAV182,FTL4,8.24.18,1
MCAV183,FTL4,8.24.18,1
MCAV184,FTL4,8.24.18,1
MCAV185,FTL4,8.24.18,1
MCAV186,FTL4,8.24.18,1
MCAV195,T328,8.24.18,1
MCAV199,T328,8.24.18,1
MCAV51,BC1,9.11.18,0.982159435
MCAV55,BC1,9.11.18,0.910202512
MCAV56,BC1,9.11.18,0.996194434
MCAV58,BC1,9.11.18,0.941840788
MCAV63,BC1,9.11.18,0.921991452
MCAV64,BC1,9.11.18,0.894295238
MCAV67,BC1,9.11.18,0.996670639
MCAV70,BC1,9.11.18,0.182440821
MCAV161,T328,9.11.18,0.86846006
MCAV165,FTL4,9.11.18,0.996009631
MCAV166,T328,9.11.18,0.911294057
MCAV168,FTL4,9.11.18,0.978589087
MCAV170,FTL4,9.11.18,0.695267993
MCAV172,T328,9.11.18,0.852247117
MCAV173,T328,9.11.18,0.907424452
MCAV175,T328,9.11.18,0.993678334
MCAV181,FTL4,9.11.18,0.826992253
MCAV182,FTL4,9.11.18,1.030923207
MCAV183,FTL4,9.11.18,0.946903093
MCAV184,FTL4,9.11.18,0.923655597
MCAV185,FTL4,9.11.18,0.884761101
MCAV186,FTL4,9.11.18,0.954222764
MCAV195,T328,9.11.18,0.891228411
MCAV199,T328,9.11.18,0.921670532
MCAV51,BC1,11.8.18,0.869317384
MCAV55,BC1,11.8.18,0.868460602
MCAV56,BC1,11.8.18,0.80306214
MCAV58,BC1,11.8.18,1.033828187
MCAV63,BC1,11.8.18,0.590865634
MCAV64,BC1,11.8.18,0.867810888
MCAV67,BC1,11.8.18,0.50791606
MCAV70,BC1,11.8.18,0
MCAV161,T328,11.8.18,0.850248033
MCAV165,FTL4,11.8.18,0.887854042
MCAV166,T328,11.8.18,0.923705754
MCAV168,FTL4,11.8.18,0.927271532
MCAV170,FTL4,11.8.18,0
MCAV172,T328,11.8.18,0.746973134
MCAV173,T328,11.8.18,0.664370977
MCAV175,T328,11.8.18,0.99822638
MCAV181,FTL4,11.8.18,0.787859655
MCAV182,FTL4,11.8.18,0.921261444
MCAV183,FTL4,11.8.18,0.472048926
MCAV184,FTL4,11.8.18,0.411799628
MCAV185,FTL4,11.8.18,0.861236254
MCAV186,FTL4,11.8.18,0.912050399
MCAV195,T328,11.8.18,0.688190506
MCAV199,T328,11.8.18,0.980060542
MCAV51,BC1,12.17.18,0.870692579
MCAV55,BC1,12.17.18,0.917119438
MCAV56,BC1,12.17.18,0.842097554
MCAV58,BC1,12.17.18,0.972035488
MCAV63,BC1,12.17.18,0.199521105
MCAV64,BC1,12.17.18,0.841940162
MCAV67,BC1,12.17.18,0.100193246
MCAV70,BC1,12.17.18,0
MCAV161,T328,12.17.18,0.751444547
MCAV165,FTL4,12.17.18,0.88604199
MCAV166,T328,12.17.18,0.880197789
MCAV168,FTL4,12.17.18,0.822763095
MCAV170,FTL4,12.17.18,0
MCAV172,T328,12.17.18,0.51204437
MCAV173,T328,12.17.18,0.453541967
MCAV175,T328,12.17.18,1.095273206
MCAV181,FTL4,12.17.18,0.547029301
MCAV182,FTL4,12.17.18,0.922191012
MCAV183,FTL4,12.17.18,0
MCAV184,FTL4,12.17.18,0.298924344
MCAV185,FTL4,12.17.18,0.869522979
MCAV186,FTL4,12.17.18,0.926277219
MCAV195,T328,12.17.18,0.477965811
MCAV199,T328,12.17.18,0.910911932
