number,colony.id,site,t1,total.colony.size.t1,disease.area.t1,healthy.area.t1,total.model.area.t1,t2,total.colony.size.t2,disease.area.t2,healthy.area.t2,total.model.area.t2,t3,total.colony.size.t3,disease.area.t3,healthy.area.t3,total.model.area.t3,t4,total.colony.size.t4,disease.area.t4,healthy.area.t4,total.model.area.t4,prop.total.1,prop.total.2,prop.total.3,prop.total.4
1,MCAV51,BC1,8.24.18,0.186094331,0.003007701,0.18308663,3.83145233,9.11.18,0.182774303,0.003458936,0.179315367,6.48270068,11.8.18,0.161775037,0.008406423,0.153368614,6.55616358,12.17.18,0.162030953,0.0150053,0.147025653,5.68079501,1,0.982159435,0.869317384,0.870692579
2,MCAV55,BC1,8.24.18,0.068146739,0.00441668,0.063730059,4.02550973,9.11.18,0.062027333,0.005755337,0.056271996,9.85666997,11.8.18,0.059182758,0.005296349,0.053886409,8.02793972,12.17.18,0.062498699,0.003064455,0.059434244,15.0006095,1,0.910202512,0.868460602,0.917119438
3,MCAV56,BC1,8.24.18,0.097731589,0.000481945,0.097249644,4.05294418,9.11.18,0.097359665,0.002690642,0.094669024,5.60851324,11.8.18,0.078484539,0.000506982,0.077977556,6.61127721,12.17.18,0.082299532,0,0.082299532,15.3021748,1,0.996194434,0.80306214,0.842097554
4,MCAV58,BC1,8.24.18,0.235565745,0.009181875,0.22638387,6.18038626,9.11.18,0.221865427,0.010436532,0.211428895,9.79820793,11.8.18,0.243534507,0.009908575,0.233625932,8.20512281,12.17.18,0.228978264,0.00796571,0.221012554,10.7294589,1,0.941840788,1.033828187,0.972035488
5,MCAV63,BC1,8.24.18,0.064838369,0.006830846,0.058007523,3.14077185,9.11.18,0.059780422,0.0059898,0.053790622,6.10591246,11.8.18,0.038310764,0.010250544,0.028060219,10.8208346,12.17.18,0.012936623,0.003774419,0.009162204,11.5414078,1,0.921991452,0.590865634,0.199521105
6,MCAV64,BC1,8.24.18,0.200569356,0.013850632,0.186718724,4.97623422,9.11.18,0.17936822,0.008185349,0.171182871,7.39193281,11.8.18,0.174056271,0.007301199,0.166755072,12.5353541,12.17.18,0.168867396,0.002045114,0.166822282,7.78817132,1,0.894295238,0.867810888,0.841940162
7,MCAV67,BC1,8.24.18,0.268314213,0.039115971,0.229198242,3.46463207,9.11.18,0.267420898,0.047552011,0.219868887,6.82820403,11.8.18,0.136281098,0.06519816,0.071082938,6.55568891,12.17.18,0.026883272,0.017829842,0.00905343,7.43992136,1,0.996670639,0.50791606,0.100193246
8,MCAV70,BC1,8.24.18,0.03885529,0.026078657,0.012776633,3.46463207,9.11.18,0.007088791,0.007088791,-8.00E-12,10.1240775,11.8.18,0,0,0,11.8053146,12.17.18,0,0,0,7.81076462,1,0.182440821,0,0
9,MCAV161,T328,8.24.18,1.77980734,0.03801699,1.74179035,18.4809568,9.11.18,1.54569159,0.024731348,1.520960242,21.0169234,11.8.18,1.51327769,0.073929177,1.439348513,16.3227592,12.17.18,1.33742652,0.057460507,1.279966013,15.9795146,1,0.86846006,0.850248033,0.751444547
10,MCAV165,FTL4,8.24.18,0.221145937,0.000291297,0.22085464,5.00192112,9.11.18,0.220263483,0.001437948,0.218825535,5.68649945,11.8.18,0.196345314,0.002754729,0.193590585,8.87402816,12.17.18,0.195944586,0.001598562,0.194346024,13.7608166,1,0.996009631,0.887854042,0.88604199
