colony.id,date,site,frame.rate,total
MCAV65,8.24.18,bc1,3fps,0.048858493
MCAV65,9.11.18,bc1,3fps,0.05602868
MCAV65,11.8.18,bc1,3fps,0.054623393
MCAV167,8.24.18,ftl4,3fps,0.836350758
MCAV167,9.11.18,ftl4,3fps,0.719898106
MCAV167,11.8.18,ftl4,3fps,0.72985568
MCAV168,8.24.18,t328,3fps,0.119733039
MCAV168,9.11.18,t328,3fps,0.093510483
MCAV168,11.8.18,t328,3fps,0.091605288
MCAV56,8.24.18,bc1,3fps,0.11194396
MCAV56,9.11.18,bc1,3fps,0.097432529
MCAV56,11.8.18,bc1,3fps,0.07433556
MCAV65,8.24.18,bc1,4fps,0.051387353
MCAV65,9.11.18,bc1,4fps,0.050539824
MCAV65,11.8.18,bc1,4fps,0.049452434
MCAV167,8.24.18,ftl4,4fps,0.767353887
MCAV167,9.11.18,ftl4,4fps,0.783954792
MCAV167,11.8.18,ftl4,4fps,0.706956729
MCAV168,8.24.18,t328,4fps,0.108464064
MCAV168,9.11.18,t328,4fps,0.107989988
MCAV168,11.8.18,t328,4fps,0.101567161
MCAV56,8.24.18,bc1,4fps,0.104381026
MCAV56,9.11.18,bc1,4fps,0.103146035
MCAV56,11.8.18,bc1,4fps,0.075797472
MCAV65,8.24.18,bc1,5fps,0.052203427
MCAV65,9.11.18,bc1,5fps,0.054020496
MCAV65,11.8.18,bc1,5fps,0.052774102
MCAV167,8.24.18,ftl4,5fps,0.748071305
MCAV167,9.11.18,ftl4,5fps,0.698376206
MCAV167,11.8.18,ftl4,5fps,0.711623683
MCAV168,8.24.18,t328,5fps,0.106520134
MCAV168,9.11.18,t328,5fps,0.104037307
MCAV168,11.8.18,t328,5fps,0.092670117
MCAV56,8.24.18,bc1,5fps,0.100894314
MCAV56,9.11.18,bc1,5fps,0.100593392
MCAV56,11.8.18,bc1,5fps,0.071177192
