location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
Template,template,template,,40.3225,0,0,12.9032,0,0,45.6036731,0,0
Pool,pool1,side1,4.47340008,41.7003414,1.3778414,0.03417054,13.2604059,0.3572059,0.02768351,,,
Pool,pool1,side1,4.47340008,43.1976662,2.8751662,0.07130426,12.8279238,0.0752762,0.00583392,,,
Pool,pool1,side1,4.47340008,44.5551166,4.2326166,0.1049691,12.6507681,0.2524319,0.01956351,,,
Pool,pool1,side1,4.47340008,44.7337388,4.4112388,0.10939894,12.965946,0.062746,0.00486282,45.2782095,0.32546362,0.00713679
Pool,pool1,side2,4.47340008,40.6211557,0.2986557,0.00740668,13.5041045,0.6009045,0.04657019,,,
Pool,pool1,side2,4.47340008,41.6279114,1.3054114,0.03237427,13.2066791,0.3034791,0.02351968,,,
Pool,pool1,side2,4.47340008,45.3184181,4.9959181,0.12389902,12.8735882,0.0296118,0.00229492,,,
Pool,pool1,side2,4.47340008,45.4591514,5.1366514,0.12738921,13.1551449,0.2519449,0.01952577,45.980748,0.37707488,0.00826852
Pool,pool1,side3,4.47340008,41.0599557,0.7374557,0.01828894,12.766671,0.136529,0.01058102,,,
Pool,pool1,side3,4.47340008,41.32273,1.00023,0.02480575,13.6920815,0.7888815,0.06113844,47.4458122,1.84213908,0.04039453
Pool,pool1,side3,4.47340008,42.0978708,1.7753708,0.04402928,13.1764624,0.2732624,0.02117788,,,
Pool,pool1,side3,4.47340008,45.5035943,5.1810943,0.1284914,12.0952076,0.8079924,0.06261954,,,
Pool,pool1,side4,4.47340008,39.8960008,0.4264992,0.0105772,11.5990774,1.3041226,0.1010697,,,
Pool,pool1,side4,4.47340008,41.7775275,1.4550275,0.03608475,13.0919989,0.1887989,0.01463194,,,
Pool,pool1,side4,4.47340008,42.2554617,1.9329617,0.04793755,12.6042921,0.2989079,0.02316541,,,
Pool,pool1,side4,4.47340008,44.1644876,3.8419876,0.09528148,12.6681337,0.2350663,0.01821767,45.4518915,0.15178162,0.00332828
Pool,pool1,top,4.47340008,41.1487611,0.8262611,0.02049132,13.3021408,0.3989408,0.03091797,,,
Pool,pool1,top,4.47340008,41.5400582,1.2175582,0.0301955,12.7411293,0.1620707,0.0125605,,,
