"","Comparison","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"1","1",1,2.54780224033534,2.54780224033534,2.99447050260468,0.0251647869851157,0.083
"2","1",116,98.6969347742198,0.850835644605343,NA,0.974835213014884,NA
"3","1",117,101.244737014555,NA,NA,1,NA
"4","2",1,1.94450015800369,1.94450015800369,2.21083662497274,0.0187024869131642,0.138
"5","2",116,102.025638520987,0.879531366560234,NA,0.981297513086836,NA
"6","2",117,103.970138678991,NA,NA,1,NA
"7","3",1,1.12288807529375,1.12288807529375,1.03608898522156,0.00863147903251929,0.382
"8","3",119,128.969309456931,1.08377570972211,NA,0.991368520967481,NA
"9","3",120,130.092197532224,NA,NA,1,NA
"10","4",1,6.1669967052743,6.1669967052743,6.99723574683965,0.0489326643993836,0.007
"11","4",136,119.863269191139,0.881347567581908,NA,0.951067335600616,NA
"12","4",137,126.030265896414,NA,NA,1,NA
"13","5",1,0.00633499862503279,0.00633499862503279,0.00836923805393191,7.60781939765073e-05,0.821
"14","5",110,83.2632366606209,0.756938515096554,NA,0.999923921806023,NA
"15","5",111,83.269571659246,NA,NA,1,NA
"16","6",1,0.72863692048587,0.72863692048587,0.747103551043384,0.00656811055156342,0.477
"17","6",113,110.206907596564,0.975282368111189,NA,0.993431889448437,NA
"18","6",114,110.93554451705,NA,NA,1,NA
"19","7",1,0.3501470127424,0.3501470127424,0.450234630604963,0.00345138996399577,0.638
"20","7",130,101.100867330773,0.777698979467486,NA,0.996548610036004,NA
"21","7",131,101.451014343516,NA,NA,1,NA
"22","8",1,0.599527872581555,0.599527872581555,0.596699562367703,0.00525278960274809,0.495
"23","8",113,113.535611343332,1.00473992339232,NA,0.994747210397252,NA
"24","8",114,114.135139215913,NA,NA,1,NA
"25","9",1,0.886145255205116,0.886145255205116,1.10312512048075,0.00841417868160659,0.364
"26","9",130,104.429571077541,0.803304392904158,NA,0.991585821318393,NA
"27","9",131,105.315716332746,NA,NA,1,NA
"28","10",1,3.09843453392145,3.09843453392145,3.13680157919264,0.0230415401478925,0.072
"29","10",133,131.373242013484,0.987768736943489,NA,0.976958459852108,NA
"30","10",134,134.471676547405,NA,NA,1,NA
