"","Comparison","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"1","1",1,5.45865853585722,5.45865853585722,9.8284911348308,0.205494484597555,0.001
"2","1",38,21.1048696607636,0.5553913068622,NA,0.794505515402445,NA
"3","1",39,26.5635281966208,NA,NA,1,NA
"4","2",1,1.62682145879671,1.62682145879671,2.75218830711264,0.0675347366961468,0.077
"5","2",38,22.4618407376094,0.591101072042352,NA,0.932465263303853,NA
"6","2",39,24.0886621964061,NA,NA,1,NA
"7","3",1,3.33027210512164,3.33027210512164,8.67786137542521,0.185909575111637,0.002
"8","3",38,14.5831253254402,0.383766455932636,NA,0.814090424888362,NA
"9","3",39,17.9133974305618,NA,NA,1,NA
"10","4",1,4.77318047259231,4.77318047259231,14.1920372827506,0.271919588152215,0.001
"11","4",38,12.780466563385,0.336328067457501,NA,0.728080411847785,NA
"12","4",39,17.5536470359773,NA,NA,1,NA
"13","5",1,1.32163676649977,1.32163676649977,3.73276322545193,0.0894444301539898,0.038
"14","5",38,13.454428822206,0.354063916373842,NA,0.91055556984601,NA
"15","5",39,14.7760655887058,NA,NA,1,NA
"16","6",1,1.24863332442359,1.24863332442359,1.62838738428896,0.0410914370170549,0.225
"17","6",38,29.1380704529436,0.766791327709043,NA,0.958908562982945,NA
"18","6",39,30.3867037773672,NA,NA,1,NA
"19","7",1,11.6971194640524,11.6971194640524,20.9079973866319,0.354926297178396,0.001
"20","7",38,21.2593550407744,0.559456711599326,NA,0.645073702821604,NA
"21","7",39,32.9564745048268,NA,NA,1,NA
"22","8",1,15.3755919959274,15.3755919959274,30.0293784451109,0.441417798184646,0.001
"23","8",38,19.4566962787193,0.512018323124191,NA,0.558582201815354,NA
"24","8",39,34.8322882746467,NA,NA,1,NA
"25","9",1,8.68909516252154,8.68909516252154,16.4021269130405,0.301497898037307,0.001
"26","9",38,20.1306585375403,0.529754172040533,NA,0.698502101962693,NA
"27","9",39,28.8197537000618,NA,NA,1,NA
"28","10",1,5.61578463585977,5.61578463585977,9.43565347673392,0.198914798999489,0.001
"29","10",38,22.6163261176202,0.595166476779479,NA,0.801085201000511,NA
"30","10",39,28.23211075348,NA,NA,1,NA
"31","11",1,8.21978538970468,8.21978538970468,15.0070547142314,0.283114291015349,0.001
"32","11",38,20.8136673555651,0.547728088304344,NA,0.716885708984651,NA
"33","11",39,29.0334527452698,NA,NA,1,NA
"34","12",1,3.38329941325486,3.38329941325486,5.98322755980536,0.136034299703672,0.005
"35","12",38,21.4876296143861,0.565463937220686,NA,0.863965700296328,NA
"36","12",39,24.8709290276409,NA,NA,1,NA
"37","13",1,0.280810006837142,0.280810006837142,0.824957085770971,0.0212481132676721,0.485
"38","13",38,12.9349519433959,0.340393472194628,NA,0.978751886732328,NA
"39","13",39,13.215761950233,NA,NA,1,NA
"40","14",1,0.458566892815856,0.458566892815856,1.28045056850781,0.0325976548124013,0.291
"41","14",38,13.6089142022168,0.358129321110969,NA,0.967402345187599,NA
"42","14",39,14.0674810950327,NA,NA,1,NA
"43","15",1,1.1701938494752,1.1701938494752,3.76642420667874,0.0901782778444429,0.03
"44","15",38,11.8062554401617,0.310690932635834,NA,0.909821722155557,NA
"45","15",39,12.9764492896369,NA,NA,1,NA
"46","16",1,0.375794742157425,0.375794742157425,0.565698367866702,0.0168534663473071,0.611
"47","16",33,21.9219767912026,0.664302327006139,NA,0.983146533652693,NA
"48","16",34,22.29777153336,NA,NA,1,NA
"49","17",1,0.916704846648317,0.916704846648317,1.21579882448152,0.0345242438071946,0.385
"50","17",34,25.6357911839029,0.753993858350084,NA,0.965475756192805,NA
"51","17",35,26.5524960305512,NA,NA,1,NA
"52","18",1,1.46089029999185,1.46089029999185,2.5988198878929,0.071008297421978,0.175
