,SiteCode,MonthYear,Location,SpeciesCode,SCTLD,TotalObservations,abundance
1,SEFL01,17-Nov,SLR,ISIN,0,1,1.785714286
2,SEFL01,17-Nov,SLR,MCAV,2,4,
3,SEFL01,17-Nov,SLR,PAST,0,27,
4,SEFL01,17-Nov,SLR,PCLI,9,14,
5,SEFL02,17-Nov,SLR,MCAV,1,2,
6,SEFL02,17-Nov,SLR,PCLI,2,6,
7,SEFL02,17-Nov,SLR,SBOU,0,2,
8,SLR Central,19-Mar,SLR,MCAV,0,1,
9,SLR Central,19-Mar,SLR,PAST,0,207,
10,SLR Central,19-Mar,SLR,PCLI,0,5,
11,SLR Central,19-Mar,SLR,SRAD,0,33,
12,SLR Ledge,19-Mar,SLR,MCAV,0,8,
13,SLR Ledge,19-Mar,SLR,MDEC,0,14,
14,SLR Ledge,19-Mar,SLR,OVAR,0,4,
15,SLR Ledge,19-Mar,SLR,PAST,0,11,
16,SLR Ledge,19-Mar,SLR,SRAD,0,13,
17,SLR Ledge,19-Mar,SLR,SSID,0,3,
18,SLR South,19-Mar,SLR,MCAV,0,2,
19,SLR South,19-Mar,SLR,OVAR,0,1,
20,SLR South,19-Mar,SLR,SBOU,0,1,
21,SLR South,19-Mar,SLR,SRAD,0,9,
22,SLR Ledge,19-Apr,SLR,MCAV,0,1,
23,SLR Ledge,19-Apr,SLR,SBOU,1,1,
24,SLR Ledge,19-Apr,SLR,SRAD,0,6,
25,SLR North,19-Apr,SLR,PCLI,3,7,
26,SLR South,19-Apr,SLR,SBOU,0,1,
27,SLR South,19-Apr,SLR,SRAD,0,6,
28,SLR Central,19-Jun,SLR,ISIN,0,1,
29,SLR Central,19-Jun,SLR,PAST,0,56,
30,SLR Central,19-Jun,SLR,PCLI,1,5,
31,SLR Ledge,19-Jun,SLR,MCAV,0,3,
32,SLR Ledge,19-Jun,SLR,PAST,0,3,
33,SLR Ledge,19-Jun,SLR,PCLI,0,1,
34,SLR Ledge,19-Jun,SLR,SRAD,0,2,
35,SLR North,19-Jun,SLR,PCLI,2,3,
36,SLR North,19-Jun,SLR,SSID,0,2,
37,SLR South,19-Jun,SLR,SBOU,0,1,
38,SLR South,19-Jun,SLR,SSID,0,1,
