,Date,DiverName,SiteCode,Location,Martin,TimeStart,Time.End,Depth,SurveyArea,SpeciesCode,UK,DS,BB,RB,YB,TLD,WP,WS,P,PB,BL,TotalDiseased,TotalHealthy,prevalence
1,11/9/17,Joshua Voss,SLR North,SLR,Martin,14:40,15:12,15,700,MCAV,0,0,0,0,0,2,0,0,0,0,0,4,23,0.148148148
2,11/9/17,Joshua Voss,SLR North,SLR,Martin,14:40,15:12,15,700,PCLI,0,0,0,0,0,9,0,0,0,0,0,9,56,0.138461538
3,11/9/17,Joshua Voss,SLR North,SLR,Martin,14:40,15:12,15,700,ISIN,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,11/9/17,Joshua Voss,SLR North,SLR,Martin,14:40,15:12,15,700,PAST,0,0,0,0,0,0,0,0,0,0,14,14,11,0.56
5,11/9/17,Joshua Voss,SLR Central,SLR,Martin,13:29,14:05,20,600,PCLI,0,0,0,0,0,2,0,0,0,0,0,2,46,0.041666667
6,11/9/17,Joshua Voss,SLR Central,SLR,Martin,13:29,14:05,20,600,SBOU,0,0,0,0,0,0,0,0,0,0,2,2,1,0.666666667
7,11/9/17,Joshua Voss,SLR Central,SLR,Martin,13:29,14:05,20,600,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,2,0.333333333
8,11/9/17,Joshua Voss,SLR South,SLR,Martin,12:35,13:07,20,400,SINT,0,0,0,0,0,0,0,0,0,0,1,1,35,0.027777778
9,11/9/17,Joshua Voss,SLR South,SLR,Martin,12:35,13:07,20,400,PCLI,0,0,0,0,0,1,0,0,0,0,3,4,2,0.666666667
10,11/9/17,Joshua Voss,SLR South,SLR,Martin,12:35,13:07,20,400,SBOU,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5
11,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,24,0
12,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,PAST,0,0,0,0,0,0,0,0,0,0,0,0,8,0
13,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,74,0
14,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,0
16,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,CNAT,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,PSTRI,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,ALAM,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20,12/8/17,Ryan Eckert,SEFL04,JUP,Palm Beach,11:10,11:30,65,450,OFAV,0,0,0,0,0,0,0,0,1,0,0,1,2,0.333333333
21,12/8/17,Ryan Eckert,SEFL05,JUP,Palm Beach,12:08,12:29,70,480,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,26,0
22,12/8/17,Ryan Eckert,SEFL05,JUP,Palm Beach,12:08,12:29,70,480,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,23,0
23,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,76,0.012987013
24,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,2,0
25,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,34,0
26,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,0
27,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,0
28,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,78,0
29,12/8/17,Ryan Eckert,SEFL06,JUP,Palm Beach,13:12,13:32,71,600,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30,12/7/17,Joshua Voss,SEFL08,WPB,Palm Beach,10:01,10:21,55,700,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,21,0
31,12/7/17,Joshua Voss,SEFL08,WPB,Palm Beach,10:01,10:21,55,700,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,69,0
32,12/7/17,Joshua Voss,SEFL08,WPB,Palm Beach,10:01,10:21,55,700,SSID,0,0,0,0,0,0,0,0,0,0,0,0,46,0
33,12/7/17,Joshua Voss,SEFL08,WPB,Palm Beach,10:01,10:21,55,700,PAST,0,0,0,0,0,0,0,0,0,0,0,0,62,0
34,12/7/17,Joshua Voss,SEFL08,WPB,Palm Beach,10:01,10:21,55,700,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,0
35,12/7/17,Joshua Voss,SEFL08,WPB,Palm Beach,10:01,10:21,55,700,MLAM,0,0,0,0,0,0,0,0,0,0,0,0,2,0
48,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,40,0.024390244
49,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,0
50,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,2,0
51,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,SSID,0,0,0,0,0,0,0,0,0,0,0,0,35,0
52,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,23,0
53,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,2,0
54,12/7/17,Joshua Voss,SEFL11,WPB,Palm Beach,11:59,12:19,49,1300,EFAST,0,0,0,0,0,0,0,0,0,0,0,0,2,0
55,12/7/17,Joshua Voss,SEFL12,WPB,Palm Beach,12:56,13:16,46,1600,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,12/7/17,Joshua Voss,SEFL12,WPB,Palm Beach,12:56,13:16,46,1600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,46,0
57,12/7/17,Joshua Voss,SEFL12,WPB,Palm Beach,12:56,13:16,46,1600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,69,0
58,12/7/17,Joshua Voss,SEFL12,WPB,Palm Beach,12:56,13:16,46,1600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,23,0
59,12/7/17,Joshua Voss,SEFL12,WPB,Palm Beach,12:56,13:16,46,1600,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,2,0
60,12/7/17,Joshua Voss,SEFL12,WPB,Palm Beach,12:56,13:16,46,1600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,2,0
161,4/19/18,Alexis Sturm,SEFL08,WPB,Palm Beach,12:44,13:04,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,29,0
162,4/19/18,Alexis Sturm,SEFL08,WPB,Palm Beach,12:44,13:04,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,74,0
163,4/19/18,Alexis Sturm,SEFL08,WPB,Palm Beach,12:44,13:04,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,62,0
164,4/19/18,Alexis Sturm,SEFL08,WPB,Palm Beach,12:44,13:04,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,23,0
165,4/19/18,Alexis Sturm,SEFL08,WPB,Palm Beach,12:44,13:04,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,21,0
166,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,42,0
167,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,23,0
168,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,23,0
169,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,21,0
170,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,SINT,0,0,0,0,0,0,0,0,0,0,0,0,23,0
171,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,35,0
172,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,46,0
173,4/19/18,Ian Combs,SEFL08,WPB,Palm Beach,12:46,13:06,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,23,0
197,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,78,0
198,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,OANN,0,0,0,0,0,0,0,0,0,0,0,0,2,0
199,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,46,0
200,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,AGGA,0,0,0,0,0,0,0,0,0,0,0,0,69,0
201,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,SSID,0,0,0,0,0,0,0,0,0,0,0,0,35,0
202,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,PAST,0,0,0,0,0,0,0,0,0,0,0,0,35,0
203,5/30/18,Jeff Beal,SEFL04,JUP,Palm Beach,11:10,11:30,70,100,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,2,0
204,6/1/18,Michael Studivan,SEFL06,JUP,Palm Beach,11:02,11:22,70,2000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,68,0
205,6/1/18,Michael Studivan,SEFL06,JUP,Palm Beach,11:02,11:22,70,2000,PAST,0,0,0,0,0,0,0,0,0,0,0,0,3,0
206,6/1/18,Michael Studivan,SEFL06,JUP,Palm Beach,11:02,11:22,70,2000,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,69,0
207,6/1/18,Michael Studivan,SEFL06,JUP,Palm Beach,11:02,11:22,70,2000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,0
208,6/1/18,Michael Studivan,SEFL06,JUP,Palm Beach,11:02,11:22,70,2000,SINT,0,0,0,0,0,0,0,0,0,0,0,0,23,0
209,6/1/18,Michael Studivan,SEFL06,JUP,Palm Beach,11:02,11:22,70,2000,HCUC,0,0,0,0,0,0,0,0,0,0,0,0,2,0
210,6/1/18,Michael Studivan,SEFL05,JUP,Palm Beach,12:52,13:12,67,2000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,19,0
