location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
pool,pool1,top,4.47340008,43.9212965,3.5987965,0.089250332,12.9654024,0.0622024,0.004820696,46.6002287,0.99655558,0.021852529
pool,pool1,top,4.47340008,42.3100799,1.9875799,0.04929208,13.2595285,0.3563285,0.027615514,,,
pool,pool1,top,4.47340008,41.5400582,1.2175582,0.030195504,12.7411293,0.1620707,0.012560504,,,
pool,pool1,top,4.47340008,41.1487611,0.8262611,0.020491316,13.3021408,0.3989408,0.030917974,,,
pool,pool1,side1,4.47340008,44.7337388,4.4112388,0.109398941,12.965946,0.062746,0.004862825,45.2782095,0.32546362,0.007136785
pool,pool1,side1,4.47340008,44.5551166,4.2326166,0.104969102,12.6507681,0.2524319,0.019563511,,,
pool,pool1,side1,4.47340008,41.7003414,1.3778414,0.034170535,13.2604059,0.3572059,0.027683513,,,
pool,pool1,side1,4.47340008,43.1976662,2.8751662,0.071304264,12.8279238,0.0752762,0.005833917,,,
pool,pool1,side2,4.47340008,45.4591514,5.1366514,0.127389209,13.1551449,0.2519449,0.019525769,45.980748,0.37707488,0.00826852
pool,pool1,side2,4.47340008,45.3184181,4.9959181,0.123899017,12.8735882,0.0296118,0.002294919,,,
pool,pool1,side2,4.47340008,41.6279114,1.3054114,0.032374267,13.2066791,0.3034791,0.023519677,,,
pool,pool1,side2,4.47340008,40.6211557,0.2986557,0.007406676,13.5041045,0.6009045,0.046570192,,,
pool,pool1,side3,4.47340008,41.32273,1.00023,0.024805754,13.6920815,0.7888815,0.061138439,47.4458122,1.84213908,0.040394533
pool,pool1,side3,4.47340008,45.5035943,5.1810943,0.128491396,12.0952076,0.8079924,0.062619536,,,
pool,pool1,side3,4.47340008,41.0599557,0.7374557,0.018288938,12.766671,0.136529,0.010581019,,,
pool,pool1,side3,4.47340008,42.0978708,1.7753708,0.044029284,13.1764624,0.2732624,0.021177878,,,
pool,pool1,side4,4.47340008,44.1644876,3.8419876,0.095281483,12.6681337,0.2350663,0.018217675,45.4518915,0.15178162,0.003328276
pool,pool1,side4,4.47340008,39.8960008,0.4264992,0.010577201,11.5990774,1.3041226,0.101069704,,,
pool,pool1,side4,4.47340008,42.2554617,1.9329617,0.047937546,12.6042921,0.2989079,0.023165409,,,
pool,pool1,side4,4.47340008,41.7775275,1.4550275,0.036084754,13.0919989,0.1887989,0.014631944,,,
pool,pool3,top,4.80094084,45.8066958,5.4841958,0.136008328,13.7315201,0.8283201,0.064194936,52.9491655,7.34549238,0.161072385
pool,pool3,top,4.80094084,52.9248613,12.6023613,0.312539185,14.1378051,1.2346051,0.095682087,,,
pool,pool3,top,4.80094084,46.4902583,6.1677583,0.152960712,11.6146072,1.2885928,0.099866142,,,
pool,pool3,top,4.80094084,44.5428977,4.2203977,0.104666072,14.7873844,1.8841844,0.146024583,,,
pool,pool3,side1,4.80094084,43.2294305,2.9069305,0.072092021,14.6312761,1.7280761,0.133926166,53.1718518,7.56817868,0.165955463
