colony.id,8.24.18,9.11.18,11.8.19
MCAV51,0.003308028,0.003554594,0.003152341
MCAV55,0.003229034,0.003864708,0.003371851
MCAV56,0.003072187,0.003446911,0.003314378
MCAV58,0.003579377,0.003712927,0.003699207
MCAV59,0.003354608,0.003242111,0.00330499
MCAV63,0.003282485,0.0034749,0.003617035
MCAV64,0.005621974,0.003167221,0.002761889
MCAV67,0.003311092,0.003814636,0.003423174
MCAV70,0.004674282,0.00282235,0.00351112
MCAV75,0.003366008,0.003549911,0.003299046
MCAV161,0.003328806,0.003016981,0.003016652
MCAV165,0.003364409,0.003609655,0.003238131
MCAV166,0.003135479,0.003421777,0.003305553
MCAV168,0.003342587,0.003511268,0.003633159
MCAV170,0.003065817,0.007378586,0.003436009
MCAV172,0.003294273,0.004237348,0.004055552
MCAV173,0.003753095,0.003772666,0.003830432
MCAV174,0.003048184,0.004727029,0.003330077
MCAV175,0.003387974,0.002731315,0.003023762
MCAV181,0.003285899,0.003454466,0.003481859
MCAV182,0.003392403,0.003359411,0.004004775
MCAV183,0.003167625,0.003412797,0.00325699
MCAV184,0.003791254,0.003581356,0.003615649
MCAV185,0.003735513,0.003505609,0.003073495
MCAV186,0.003692217,0.003649235,0.003424893
MCAV195,0.003598087,0.003441278,0.003427145
MCAV196,0.003252948,0.004528176,0.004041465
MCAV199,0.003610482,0.003326903,0.003537856
