colony.id,date,site,frame.rate,total.area,cowtag.area
MCAV65,8.24.18,bc1,total.3fps,0.048858493,0.003095368
MCAV65,9.11.18,bc1,total.3fps,0.05602868,0.003429033
MCAV65,11.8.18,bc1,total.3fps,0.054623393,0.003405733
MCAV167,8.24.18,ftl4,total.3fps,0.836350758,0.003405733
MCAV167,9.11.18,ftl4,total.3fps,0.719898106,0.003209955
MCAV167,11.8.18,ftl4,total.3fps,0.72985568,0.003261012
MCAV168,8.24.18,t328,total.3fps,0.119733039,0.003638356
MCAV168,9.11.18,t328,total.3fps,0.093510483,0.002925662
MCAV168,11.8.18,t328,total.3fps,0.091605288,0.003472305
MCAV56,8.24.18,bc1,total.3fps,0.11194396,0.003451278
MCAV56,9.11.18,bc1,total.3fps,0.097432529,0.00250255
MCAV56,11.8.18,bc1,total.3fps,0.07433556,0.003256533
MCAV65,8.24.18,bc1,total.4fps,0.051387353,0.003115098
MCAV65,9.11.18,bc1,total.4fps,0.050539824,0.003318938
MCAV65,11.8.18,bc1,total.4fps,0.049452434,0.003167235
MCAV167,8.24.18,ftl4,total.4fps,0.767353887,0.002932435
MCAV167,9.11.18,ftl4,total.4fps,0.783954792,0.003406241
MCAV167,11.8.18,ftl4,total.4fps,0.706956729,0.003357172
MCAV168,8.24.18,t328,total.4fps,0.108464064,0.003522956
MCAV168,9.11.18,t328,total.4fps,0.107989988,0.003382103
MCAV168,11.8.18,t328,total.4fps,0.101567161,0.003950266
MCAV56,8.24.18,bc1,total.4fps,0.104381026,0.003342774
MCAV56,9.11.18,bc1,total.4fps,0.103146035,0.002811735
MCAV56,11.8.18,bc1,total.4fps,0.075797472,0.003382966
MCAV65,8.24.18,bc1,total.5fps,0.052203427,0.003346196
MCAV65,9.11.18,bc1,total.5fps,0.054020496,0.00346841
MCAV65,11.8.18,bc1,total.5fps,0.052774102,0.003236574
MCAV167,8.24.18,ftl4,total.5fps,0.748071305,0.002793564
MCAV167,9.11.18,ftl4,total.5fps,0.698376206,0.003166478
MCAV167,11.8.18,ftl4,total.5fps,0.711623683,0.003367732
MCAV168,8.24.18,t328,total.5fps,0.106520134,0.00409218
MCAV168,9.11.18,t328,total.5fps,0.104037307,0.003786879
MCAV168,11.8.18,t328,total.5fps,0.092670117,0.003563248
MCAV56,8.24.18,bc1,total.5fps,0.100894314,0.003144269
MCAV56,9.11.18,bc1,total.5fps,0.100593392,0.002668852
MCAV56,11.8.18,bc1,total.5fps,0.071177192,0.003114449
