colony.id,date,site,total.3fps,total.4fps,total.5fps,3 to 4 diff,4 to 5 diff,3 to 5 diff,cowtag.3fps,cowtag.4fps,cowtag.5fps,3 to 4 diff,4 to 5 diff,3 to 5 diff
MCAV65,8.24.18,bc1,0.048858493,0.051387353,0.052203427,-0.00252886,-0.000816074,-0.003344934,0.003095368,0.003115098,0.003346196,-1.97E-05,-0.000231098,-0.000250828
MCAV65,9.11.18,bc1,0.05602868,0.050539824,0.054020496,0.005488856,-0.003480672,0.002008184,0.003429033,0.003318938,0.00346841,0.000110095,-0.000149472,-3.94E-05
MCAV65,11.8.18,bc1,0.054623393,0.049452434,0.052774102,0.005170959,-0.003321668,0.001849291,0.003405733,0.003167235,0.003236574,0.000238498,-6.93E-05,0.000169159
MCAV167,8.24.18,ftl4,0.836350758,0.767353887,0.748071305,0.068996871,0.019282582,0.088279453,0.003405733,0.002932435,0.002793564,0.000473298,0.000138871,0.000612169
MCAV167,9.11.18,ftl4,0.719898106,0.783954792,0.698376206,-0.064056686,0.085578586,0.0215219,0.003209955,0.003406241,0.003166478,-0.000196286,0.000239763,4.35E-05
MCAV167,11.8.18,ftl4,0.72985568,0.706956729,0.711623683,0.022898951,-0.004666954,0.018231997,0.003261012,0.003357172,0.003367732,-9.62E-05,-1.06E-05,-0.00010672
MCAV168,8.24.18,t328,0.119733039,0.108464064,0.106520134,0.011268975,0.00194393,0.013212905,0.003638356,0.003522956,0.00409218,0.0001154,-0.000569224,-0.000453824
MCAV168,9.11.18,t328,0.093510483,0.107989988,0.104037307,-0.014479505,0.003952681,-0.010526824,0.002925662,0.003382103,0.003786879,-0.000456441,-0.000404776,-0.000861217
MCAV168,11.8.18,t328,0.091605288,0.101567161,0.092670117,-0.009961873,0.008897044,-0.001064829,0.003472305,0.003950266,0.003563248,-0.000477961,0.000387018,-0.000090943
MCAV56,8.24.18,bc1,0.11194396,0.104381026,0.100894314,0.007562934,0.003486712,0.011049646,0.003451278,0.003342774,0.003144269,0.000108504,0.000198505,0.000307009
MCAV56,9.11.18,bc1,0.097432529,0.103146035,0.100593392,-0.005713506,0.002552643,-0.003160863,0.00250255,0.002811735,0.002668852,-0.000309185,0.000142883,-0.000166302
MCAV56,11.8.18,bc1,0.07433556,0.075797472,0.071177192,-0.001461912,0.00462028,0.003158368,0.003256533,0.003382966,0.003114449,-0.000126433,0.000268517,0.000142084
Mean,,,0.252847997,0.250915897,0.24108014,0.0019321,0.009835757,0.011767858,0.00325446,0.003307493,0.003312403,-5.30E-05,-4.91E-06,-5.79E-05
Standard deviation,,,,,,0.030052255,0.024714335,0.02589191,,,,0.000282985,0.000290253,0.000374025
Standard error,,,,,,0.008334996,0.006854523,0.007181124,,,,7.85E-05,8.05E-05,0.000103736
