Location ,Date,date,stdev,mean,stderror 
Martin County,11/9/17,Nov.17,0.10140791,0.209722222,0.058547886
Martin County,3/1/19,Mar.19,0,0,0
Martin County,4/25/19,Apr.19,0.21821789,0.19047619,0.125988158
Martin County,6/4/19,Jun.19,0.197458268,0.104032258,0.098729134
Palm Beach County,12/7/17,Dec.17,0.027249043,0.017045455,0.012186142
Palm Beach County,12/8/17,Dec.17,0.004441156,0.002564103,0.002564103
Palm Beach County,12/12/17,Dec.17,0.023809524,0.011904762,0.011904762
Palm Beach County,1/10/18,Jan.18,0.02188846,0.023710288,0.008935926
Palm Beach County,4/19/18,Apr.18,0.007989907,0.005649718,0.005649718
Palm Beach County,5/11/18,May.18,0,0,0
Palm Beach County,5/30/18,May.18,0,0,0
Palm Beach County,6/1/18,Jun.18,0,0,0
Palm Beach County,8/22/18,Aug.18,0.015968195,0.011151871,0.007141194
Palm Beach County,12/18/18,Dec.18,0.017345287,0.010014306,0.010014306
Palm Beach County,2/5/19,Feb.19,0,0,0
Palm Beach County,3/11/19,Mar.19,0.02361198,0.081557332,0.013632383
Palm Beach County,3/12/19,Mar.19,0.025712974,0.018181818,0.018181818
Palm Beach County,5/14/19,May.19,0,0,0
Palm Beach County,5/15/19,May.19,0.00315492,0.001821494,0.001821494
Palm Beach County,6/12/19,Jun.19,0.0095061,0.010501844,0.005488349
Broward County,11/8/18,Nov.18,0.095762591,0.122395678,0.055288558
Broward County,12/17/18,Dec.18,0.014119822,0.087856788,0.008152083
Broward County,3/4/19,Mar.19,0.102032362,0.156777863,0.058908412
Broward County,5/7/19,May.19,0.042048262,0.084850722,0.029732612
