county,date,prevalence,stdev,stderror,95%confidence interval,upper,lower
Broward County,Nov.18,0.122395678,0.095762591,0.055288558,0.044239247,0.166634925,0.078156431
Broward County,Dec.18,0.087856788,0.014119822,0.008152083,0.006522905,0.094379693,0.081333883
Broward County,Mar.19,0.156777863,0.102032362,0.058908412,0.04713568,0.203913543,0.109642183
Broward County,May.19,0.084850722,0.042048262,0.029732612,0.019424949,0.104275671,0.065425773
Martin County,Nov.17,0.209722222,0.101407913,0.021145012,0.046847205,0.256569427,0.162875017
Martin County,Mar.19,0,0,0,0,0,0
Martin County,Apr.19,0.19047619,0.21821789,0.125988158,0.100809669,0.291285859,0.089666521
Martin County,Jun.19,0.104032258,0.197458268,0.098729134,0.09121939,0.195251648,0.012812868
Palm Beach County,Dec.17,0.004345654,0.008597553,0.00324957,0.003971794,0.008317448,0.00037386
Palm Beach County,Apr.19,0,0,0,0,0,0
Palm Beach County,May.19,0,0,0,0,0,0
Palm Beach County,Jun.18,0,0,0,0,0,0
Palm Beach County,Aug.18,0.011151871,0.015968195,0.007984098,0.007376794,0.018528665,0.003775077
Palm Beach County,Dec.18,0.010014306,0.017345287,0.010014306,0.008012967,0.018027273,0.002001339
Palm Beach County,Feb.19,0,0,0,0,0,0
Palm Beach County,Mar.19,0.056207126,0.040607743,0.018160335,0.018759475,0.074966601,0.037447651
Palm Beach County,May.19,0.000910747,0.002230865,0.000910747,0.001030588,0.001941335,-0.000119841
Palm Beach County,Jun.19,0.010501844,0.0095061,0.005488349,0.004391513,0.014893357,0.006110331
